_x,_y,_width,_height,happy,sad,neutral,disgusted,angry,fearful,surprised,timestamp,numPerson,personId
"-5.310500615842734","113.13798502926016","253.49373153448107","273.78105103969574","0.9422277212142944","0.0026136271189898252","0.000010065818969451357","0.00030721642542630434","0.000003041736135855899","0.000021508862118935212","0.05481689050793648","1921","1","0"
"0.22541113465169715","115.26221353155074","255.62121863365175","271.5675339996815","0.5307126045227051","0.4686993956565857","0.00001975120358110871","0.0001567004801472649","8.625618441726601e-9","0.0004064968670718372","0.0000050060734793078154","1922","1","0"
"-12.048800060504927","108.29301948473788","254.22699764370918","270.3570774435997","0.9345498085021973","0.02201463095843792","0.03618510439991951","0.006535294000059366","0.000012387933566060383","0.0007000177283771336","0.000002919565986303496","1922","1","0"
undefined"-26.245074799263733","129.90975073353388","261.0878644734621","210.8403370320797","0.7269294857978821","0.002802659757435322","0.15674549341201782","0.09893379360437393","0.000002612832759041339","0.014549263752996922","0.00003669520447147079","1923","1","0"
"-13.268493856309584","145.00714320998964","222.89967913627623","189.8342247247696","0.15175512433052063","0.006824365817010403","0.8343840837478638","0.003916486166417599","0.00006180653144838288","0.0030013162177056074","0.00005692130434908904","1923","2","0"
"512.6905623323856","233.0939239603695","152.06230401992798","138.84947276115415","0.15175512433052063","0.006824365817010403","0.8343840837478638","0.003916486166417599","0.00006180653144838288","0.0030013162177056074","0.00005692130434908904","1923","2","1"
"-24.739058643316856","128.320485040746","247.20328787863255","211.37824022769928","0.8001003265380859","0.005425256211310625","0.11363354325294495","0.0795033872127533","0.0000516439467901364","0.0009134172578342259","0.00037234084447845817","1923","2","0"
"509.05920961377495","234.28478974091576","152.83156768083572","136.4411551952362","0.8001003265380859","0.005425256211310625","0.11363354325294495","0.0795033872127533","0.0000516439467901364","0.0009134172578342259","0.00037234084447845817","1923","2","1"
"515.3666174282657","227.03722618982096","143.640254509449","147.630631390214","0.38862308859825134","0.6090977191925049","0.00022665536380372941","0.00016303894517477602","0.0000021043883862148505","0.00022748812625650316","0.0016598354559391737","1923","2","0"
"-20.830277249844894","125.71455434647112","231.87781262397766","205.79644010961056","0.38862308859825134","0.6090977191925049","0.00022665536380372941","0.00016303894517477602","0.0000021043883862148505","0.00022748812625650316","0.0016598354559391737","1923","2","1"
"517.0956100850885","222.50264897894112","143.37706924080848","154.0114757984877","0.09418371319770813","0.9057751297950745","0.000007262779490702087","0.000005022706318413839","4.672368714153663e-9","8.839689940032258e-7","0.000028060987460776232","1923","2","0"
"-26.983185484714646","131.25063164882755","234.6615842521191","200.1490703523159","0.09418371319770813","0.9057751297950745","0.000007262779490702087","0.000005022706318413839","4.672368714153663e-9","8.839689940032258e-7","0.000028060987460776232","1923","2","1"
undefinedundefinedundefinedundefinedundefinedundefinedundefinedundefinedundefinedundefinedundefinedundefined"2.1224368314053557","146.58827221333905","181.80921612381934","177.11945566982027","0.7888719439506531","0.15356862545013428","0.006429603323340416","0.012600220739841461","0.0009924329351633787","0.03379201889038086","0.0037452545948326588","1925","1","0"
undefined"1.2313061885950205","147.96910358308781","179.92983714938163","179.23479476720095","0.47996607422828674","0.46423518657684326","0.000153105502249673","0.04669893905520439","0.00032526414724998176","0.0017678220756351948","0.006853574421256781","1925","1","0"
"5.863819617104821","146.8040583547836","183.49687964916228","179.79614228904245","0.3519948720932007","0.5698931217193604","0.003390550846233964","0.034995898604393005","0.002631084993481636","0.025457030162215233","0.011637457646429539","1925","1","0"
"211.6810597524952","142.1596799110709","198.28017459511756","202.89313673973083","0.9968435764312744","0.00024936525733210146","0.0003412803343962878","0.0022391241509467363","8.675401659274939e-7","0.0000018865357560571283","0.00032394108711741865","1925","1","0"
undefined"190.9595459016147","110.75858501329424","238.97993956804277","244.38675952702764","0.05072122439742088","0.0000551885568711441","0.034551091492176056","0.8737488389015198","0.037789203226566315","0.0005423096590675414","0.0025920511689037085","1925","1","0"
"190.9595459016147","110.75858501329424","238.97993956804277","244.38675952702764","0.05072122439742088","0.0000551885568711441","0.034551091492176056","0.8737488389015198","0.037789203226566315","0.0005423096590675414","0.0025920511689037085","1925","1","0"
"243.32234289963867","175.01182640514673","111.96950379610061","101.74116665124893","0.000043954023567494005","0.00042546234908513725","0.9995254874229431","7.635904353264777e-9","4.363966057008978e-13","0.000005078568392491434","9.322305427605926e-11","1925","1","0"
undefinedundefinedundefinedundefined